,Pos,             Club,PJ,PG,PE,PP,G. Favor,G. contra,Dif,Puntos,Títulos,Temporadas,Div. actual
0,1°, Liverpool F. C.,4286,2035,1061,1190,7190,5150,+2040, 7166,19,108,Premier League
1,2°, Arsenal F. C.,4286,1966,1087,1233,7125,5368,+1757, 6985,13,106,Premier League
2,3°, Everton F. C.,4670,1886,1171,1613,7195,6482,+713, 6829,9,120,Premier League
3,4°, Manchester United F. C.,3930,1888,967,1075,6766,4984,+1782, 6631,20,98,Premier League
4,5°, Aston Villa F. C.,4222,1699,996,1527,6807,6290,+517, 6093,7,109,Premier League
5,6°, Manchester City F. C.,3772,1562,892,1318,6069,5343,+726, 5578,9,94,Premier League
6,7°, Tottenham Hotspur F. C.,3546,1484,850,1212,5627,4942,+685, 5302,2,88,Premier League
7,8°, Chelsea F. C.,3550,1457,914,1179,5450,4926,+524, 5285,6,88,Premier League
8,9°, Newcastle United F. C.,3616,1392,884,1340,5400,5224,+176, 5060,4,91,Premier League
9,10°, Sunderland A.F.C.,3340,1260,780,1300,5143,5121,+22, 4560,6,86,Championship
